,answer
10,"['안녕하세요, 네이버지식인 전문상담위원 신선호 세무사입니다.겸용건물이면 모두 증여세 과세대상입니다. 근생이나 기타건물의공시가액이 없으면 증여세신고는 근생건물과 그 부속토지는 시가가 확인되지 아니하면  기준시가로 각각 평가해 신고하고, 기타건물도 동일합니다.부속토지는 토지 면적에 공시가액을 곱하면 기준시가가 계산되지만, 근생괴 기타건물은 국세청홈택스-  기타조회- 기준시가에서 관련 자료를 입력해  기준시가를 계산해야합니다.']"
11,"['1.3.3%사업소득원천징수시 주민등록번호가 키코드입니다. 신분증사본을 제출해야 사업주가  사업소득신고를 할 수 있습니다.2.사업소득신고는 사업자가 해야합니다. 귀하가 근로소득으로 신고할 수 없습니다.', '물음표 둘다 안됩니다.']"
12,"['작년소득이 있었다면 지금이라도 신청해야하고요지금은 반기 정기신청이 모두 끝나서 기한후 신청을 해야합니다.홈택스 들어가서 장려금.연말정산>>>우측아래 근로장려금 포털 바로가기 가면기한후 신청있는데요.가서 신청하면 됩니다~', '질문세무서에서 작년 알바로 근로 장려금 신청 대상자여서 신청해주겠다 계좌번호 불러달라고 연락이 왔어요 계좌만 가져가시고 전화는 끊었는데 홈택스에서 신청하지 않았다고 하더라구요 제가 그냥 온라인 신청해도 상관없을까요??답변근로 장려금 신청에 대한 질문에 대해 답변드리겠습니다. 세무서에서 연락을 받으셨고, 온라인으로 신청할 수 있는지 궁금하신 것 같습니다. 결론적으로, 온라인으로 신청하는 것이 가능합니다.근로 장려금 신청 방법온라인 신청 가능: 홈택스에서 직접 신청할 수 있습니다. 세무서에서 안내받은 개별인증번호가 있다면, 이를 통해 간편하게 신청할 수 있습니다 .신청 기간: 2024년 9월 1일부터 9월 19일까지 신청이 가능하며, 지급은 2024년 12월 말에 예정되어 있습니다 .신청 방법홈택스 이용: 홈택스에 로그인 후, 근로장려금 신청 메뉴로 이동하여 필요한 정보를 입력하면 됩니다. 만약 개별인증번호가 없다면, 주민등록번호로 로그인하여 신청할 수 있습니다 .ARS 신청: 1544-9944로 전화하여 주민등록번호와 개별인증번호를 입력하면 신청할 수 있습니다 .2024 근로장려금 신청자격 및 신청, 지급일, 신청자격조회, 신청방법, 반기신청, 지급일 총정리장려금 조회 바로가기 \xa0❤️근로장려금 신청 바로가기❤️\xa0❤️근로장려금 조회 바로가기❤️\xa0 근로장려금은 저소득 근로자 및 자영업자를 돕기 위한 정부의 재정적 지원 프로그램입니다. 근로자들이 경제적인 안정을 유지하고 자립할 수 있도록 돕는 중요한 제도입니다. 근로장려금 신청 방법, 지급 기준, 신청 대상 등을 상세히 설명하고, 근로장려금 신청기간과 지급일에 대한 최신 정보를 제공합니다.\xa0 근로장려금 개요근로장려금은 근로 소득이 일정 기준 이하인 근로자나 자영업자에게 지급되는 재정적 지원으로, 저소득 근로 가정의 자립을 돕고 ...kimmj3.tistory.com주의사항신청 안내문 확인: 세무서에서 받은 안내문에 기재된 정보가 중요합니다. 만약 안내문을 받지 않았다면, 홈택스에서 직접 신청할 수 있는지 확인해야 합니다.신청 대리: 만약 직접 신청이 어려운 경우, 세무서 직원이나 상담사에게 신청 대리를 요청할 수 있습니다 .결론적으로, 홈택스를 통해 온라인으로 근로 장려금을 신청하는 것은 가능합니다. 필요한 정보를 잘 확인하시고, 신청 기간 내에 진행하시기 바랍니다. 추가적인 질문이 있으시면 언제든지 문의해 주세요!', '네 홈택스로 신청하시면  됩니다.관할 담당세무서에 전화는 다시 해보세요.계좌번호만 알아가고 신청 안 했을리가 없을 듯합니다.세무서에 전화하셔서 정확한 확인이 필요할듯해요.', '세무서에서 근로장려금 신청을 도와주겠다고 연락이 왔으나,홈택스에서 신청 내역이 확인되지 않는 상황에 대해 궁금해하시는군요. 이 경우, 직접온라인 신청을 하셔도 상관없습니다. 세무서에서 신청을 진행한 것이 확인되지 않으면,홈택스에서 직접 신청하는 것이 가장 확실한 방법입니다. 아래에 구체적인 절차를 설명드리겠습니다. ✔️1. 홈택스에서 신청 내역 확인홈택스에 로그인하여근로장려금 신청 내역을 확인할 수 있습니다.신청 내역이 없다면, 세무서에서 아직 신청을 완료하지 않았을 가능성이 있습니다.세무서에서 신청을 도와준다고 하더라도, 신청이 완료되지 않았거나 정보가 누락될 수 있으므로직접 확인하는 것이 좋습니다.2. 온라인으로 직접 신청 가능홈택스또는손택스(모바일)앱을 통해직접 신청하셔도 문제없습니다.온라인 신청은계좌번호 등 개인정보를 직접 입력하고 확인할 수 있기 때문에, 신청 내역을 확실하게 관리할 수 있습니다.3. 신청 방법홈택스로그인 후, ""근로장려금 신청"" 메뉴로 이동하여 신청서를 작성하시면 됩니다.이미 세무서에서 신청한 내역이 있는 경우 중복 신청이 불가능하므로, 직접 신청을 시도하시면 자동으로 중복 확인이 이루어집니다.4. 세무서에 다시 확인하기만약온라인 신청을 하시기 전에세무서에 다시 연락하여 확인하는 것도 좋은 방법입니다. 세무서에서 이미 신청을 완료한 상태라면, 온라인으로 추가 신청할 필요는 없습니다.✔️결론: 세무서에서 신청이 완료되지 않았거나, 홈택스에서 확인되지 않는다면,온라인으로 직접 신청하는 것이 가장 안전한 방법입니다. 홈택스나 손택스 앱에서근로장려금을 직접 신청하셔도 문제없습니다.근로장려금 신청기간 및 신청자격, 신청방법, 지급액, 지급일관련, 더 자세한 사항은아래글을 보시면 좋을거 같습니다.https://me4.chemi-up100.com/20근로장려금 신청기간 및 신청자격, 신청방법, 지급액, 지급일근로장려금\xa0신청기간\xa0및\xa0신청자격,\xa0신청방법,\xa0지급액,\xa0지급일\xa0\xa0\xa0근로장려금은 급여가 적어 생활이 어려운 근로자(종교인 포함)나 사업자(전문직 제외)가구에 대해 가구 구성원과 총 급여액 등을 기준으로 산정된 금액을 지원하는근로연계형 소득지원 제도입니다.\xa0이를 통해 근로를 장려하고 실질적인 소득을 지원하게 됩니다.\xa0오늘은 근로장려금\xa0신청기간\xa0및\xa0신청자격,\xa0신청방법,\xa0지급액,\xa0지급일에 대해 자세히 알아보겠습니다.\xa0 \xa0\xa0\xa0근로장려금 신청기간 \xa0\xa0근로장려금은 매년 정기신청과 반기신청으로 나눠져 있으며,각각의 신청기간에 맞춰 신청할 수 있습니...me4.chemi-up100.com', '▶질문:세무서에서 작년 알바로 근로 장려금 신청 대상자여서 신청해주겠다 계좌번호 불러달라고 연락이 왔어요 계좌만 가져가시고 전화는 끊었는데 홈택스에서 신청하지 않았다고 하더라구요 제가 그냥 온라인 신청해도 상관없을까요??▶답변:근로장려금 신청은 온라인으로도 가능합니다. 세무서에서 연락을 받고 계좌번호를 요청한 경우, 해당 세무서에서 신청을 도와주겠다는 의미일 수 있지만, 본인이 직접 온라인으로 신청하는 것도 가능합니다.1. 온라인 신청: 홈택스에 접속하여 본인의 계정으로 로그인한 후, 근로장려금 신청 메뉴를 통해 직접 신청할 수 있습니다. 이 경우, 필요한 서류와 정보를 준비해 두어야 합니다.2. 중복 신청 주의: 만약 세무서에서 이미 신청을 진행하고 있다면, 중복 신청이 될 수 있으므로 주의가 필요합니다. 세무서에 다시 연락하여 현재 신청 상태를 확인하는 것이 좋습니다.3. 신청 기한: 근로장려금 신청 기한이 정해져 있으니, 기한 내에 신청하는 것을 잊지 마세요.결론적으로, 온라인 신청은 가능하지만, 세무서와의 중복 신청 여부를 확인하는 것이 중요합니다.근로장려금 신청 방법, 자격 조건, 지급일, 지급액 등에 대해서 잘 정리된 글이 있어서 링크 남겨 드립니다.읽어 보시면 도움이 되실 것 같습니다. 작은 도움이 되셨다면 채택 부탁드립니다.근로장려금 반기 신청 방법과 대상 및 지급일 안내근로장려금 반기 신청 방법과 대상 및 지급일 안내\xa0근로장려금은 저소득 가구의 근로를 장려하고 소득을 보전하는 중요한 복지 제도입니다. 매년 신청과 지급 절차가 정해져 있으니, 신청 기간과 지급일을 놓치지 않도록 주의해야 합니다. 이번 글에서는 2024년 근로장려금 지급일과 반기 신청 방법, 그리고 자주 묻는 질문들에 대해 상세히 설명해 드리겠습니다.근로장려금이란?\xa0\xa0근로장려금은 소득이 적은 근로자 또는 자영업자 가구에 대해 국가가 현금을 지원하는 복지 혜택입니다. 근로 의욕을 높이고 가계 소득을 일정 부분 보조하여 저소득층의 생...information-boxes.tistory.com']"
13,"['안녕하세요. 세무회계강남 김하원세무사입니다.먼저 3.3%세금을 내면서 일하는 것은 근로소득으로 신고하신 것은 아닙니다.사업소득으로 일하는 것으로 계약하였다고 보셔야 할 것 같습니다.그리고 사업소득의 경우 소득지급일의 다음 달 10일까지 매월 원천징수한 세액을 납부하고, 그 지급명세서를제출하여야 합니다.질문자님께서 작년 10월에 근무하시고 지급받으셨다면 11월 10일까지 신고의무를 이행하여야 하며,보통 12월달에 확인이 가능한 것으로 알고 있습니다.작년 10월부터 올해까지 소득이 확인이 안되신다면 제출이 안된 것으로 추측되므로알바한 곳에 문의하시기 바랍니다.감사합니다.']"
14,"['내년 1월까지 기다리셔야 합니다.연말정산은 우편발송이 되지 않고근로자가 직접 홈택스에서 조회해야 합니다.그러니 빨리 들어가셔서 삭제하시면 조회하실 수 없어요~', '✔ 삭제 방법홈택스 로그인 -> 조회, 발급 -> 연말정산간소화 -> 소득·세액공제 자료 삭제-> 소득·세액공제 자료 개별 건별 삭제 신청 -> 귀속 연도 선택 -> 자료 공제 항목에서 의료비 선택삭제하고 싶은 항목 체크하고 신청하기(귀속 연도 선택 / 자료 공제 항목에 의료비 선택)조회를 하는 연도의 기록은 아직 연말 정산을 하기 전이기 때문에 아직 조회가 안 될 것입니다.내년 1월 15일은 되어야 전년도 기록이 조회되면서 삭제를 할 수 있습니다.']"
15,"['홈택스 ID/PW는 기장을 위해(카드매입, 현금영수증매입 내역확인용) 필요한 사항이고통장, 카드는 개인사업자의 경우 일정요건이 되면 등록해야 하는 의무가 있기에 미리 등록해주기 위해 요청한 것 같습니다.위에 말씀드린 의도가 아닐 수도 있지만 일단 기장계약을 체결한게 아니고 단순 사업자등록 대행이면 굳이 요구할 필요는 없는 사항입니다.', '안녕하세요. 안세회계법인 센트럴지점입니다.www.exceltax.co.kr해당질문에 대해 답변드립니다.-> 네 신고시 조회를 대신 해야 하므로 알려주어도 괜찮습니다감사합니다 !좋은 하루 되시길 바랍니다.']"
16,"['별도의 사업장이  없다면 주민등록상의 주소지로 가능하며이경우 임대차계약서는 필요하지 않습니다', '친구분께서 임차한 상황이라면친구분과 질문자분께서 전대차 계약서를 작성하셔서 제출하셔야 합니다.다만, 전대차계약서의 경우에는임대인의 동의가 필요합니다.추가 상담을 원하시면1. 카카오톡http://pf.kakao.com/_zcRlj(지식인링크를 같이 보내주시면 상담에 도움이 됩니다.내용에 따라 상담료가 발생할 수 있습니다.)2. 엑스퍼트https://m.expert.naver.com/mobile/expert/product/detail?storeId=100038905&productId=100085836문의주시기 바랍니다.']"
17,"['[답변]1. 내년 3월 10일 이후 2024년분 지급명세서 조회로 확인 가능합니다.2. 3.3% 세금 공제 소득은 다음 달 말까지 간이 사업소득 지급명세서를 제출하게 되어 있으므로 홈택스 로그인 후 마이홈택스에서 간이지급명세서 조회로 자료 제출 여부를 지급일 다음 달 말일 이후 확인이 가능합니다...', '3.3% 를 떼는 소득은 사업소득이고,사업소득 지급명세서는 다음년도 2월부터 3월10일까지 제출합니다올해 소득신고내역을 확인하려면 회사에 지급명세서를 요구하거나내년 3월 이후로 홈택스에서 확인 가능합니다', '지급월의 다음달 말일에    간이소득지급명세서를 발급받아서   납부여부를 확인하세요.홈택스<지급명세서<제출내역조회에서 확인하세요.', '1. 홈택스에서 지금 확인 가능한가요?지금은 회사에 물어보는 것이 좋습니다.2. 홈택스에서는 내년 3월 10일에나 가능합니다 .']"
18,"['사업용 계좌 의무등록자는 아닙니다사업자등록증을 가지고 개설한 사업용계자가 아닌사업주 개인계좌를 세무서에 사업용계좌로 등록이 가능하고요의무사용자라면  매출, 매입, 인건비지급시, 임대료 지급시 해당 계좌를 사용해야가산세가 발생하지 않습니다(미사용금액에 대하여 가산세 발생)님처럼 의무 사용자가 아니라면 미사용시 불이익은 없지만앞으로를 감안한다면 매출과 매입을 계좌를 이용하시면 됩니다', '안녕하세요마케팅강사입니다.내가 사업자로서매입 매출을 정확하게확인하기위해서는개인 계좌를 사업자 계좌로등록하시는 것보다후일을 위해사업자등록증을 갖고주 거래은행에 가셔서사업자통장을 만드시는것이바람직 합니다.기왕이면 사업자용으로 카드를만드세요 (캐시, 직불카드 상관없음)카드를 만드시고홈택스에서 사업자 카드를 함께 등록해 두시면사용시 마다 자동으로 이력이 남아부가세등 결산시 매우 편리합니다.본인은 주머니 돈이 쌈지돈이라고 생각할 수 있으나사업자의 경우 사업을 위해물품 매입은 물론 차량유지비, 관리비임대료, 식대, 기타 사업과 관련하여사용한 지출내역이분명하게 근거가 있는것이1년에 1회 부가세 신고때나종합소득세 신고시매우 편리해 집니다,', '안녕하세요. 마승태 세무사입니다.1. 사업용계좌 개설 대상자는 개인사업자 중 복식부기의무자와 전문직 사업자 입니다.2.기존에 사용하시던 계좌를 사업용계좌로 사용하셔도 됩니다.3. 사업용계좌는 개인적으로 사용하는 가사용계좌와 구분해서 사용해야 합니다만, 구분해서 사용하는 것이 쉽지는 않습니다. 사적인 지출을 한다고 별도의 제재가 있지는 않지만, 사업상 거래로 인식될 수 있으므로 추후 세무조사 등이 있을 경우에는 사업용거래가 아니라 사적거래라는 것을 직접 입증해야 할 것 입니다.아래 블로그를 참고하시면 도움이 되실 것 같습니다.[전국구세무사]사업용계좌의 모든 것! 진짜 세무사가 알려드립니다.안녕하세요. 승태세무회계 마승태 세무사입니다. 어느덧 1월의 첫번째 금요일이 찾아왔습니다. 한주의 마무...blog.naver.com답변이 도움되셨기 바랍니다.']"
19,"['답답하실것 같습니다 ㅠㅠ주업종코드 발급 확인서는 나 개인이 아닌 내가 근무하는 회사의 정보를 담는 서류 입니다. 그렇다 보니, 내 개인 정보로는 확인이 불가능 합니다.!그리고 해당 서류가 잘 사용안되다 보니, 모르는 분들도 많아 자세한 내용을 남겨 두겠습니다. 방법은 어렵지 않습니다.먼저 홈택스에 로그인 합니다.이후 마이 홈택스(사업장으로 로그인 해야 합니다.)를 클릭합니다.하단에 있는 기타 세무정보를 클릭합니다.사업자등록사항 및 담당자 안내를 클릭합니다.정보를 확인 한 후 우클릭 및 인쇄 버튼을 눌러 서류를 출력합니다.다만 해당 서류는 반드시 직인 및 명판이 찍혀 있어야 합니다.~!아래 링크는 자세한 내용과 이미지가 포함되어 있는 글입니다 .하시다 막히시면 확인해 보시는 것을 권장 드립니다~!https://m.site.naver.com/1u4xt주업종코드 확인서 개인 발급 방법 - 김닥터의 정보 가이드오늘은 주업종코드 확인서 개인 발급 방법에 대해서 자세히 알아보겠습니다. 최근 사업을 하시는 분들이 많아졌으며, 그로 인해 정책 지원금이나 세액 감면 등을 신청하는 경우가 많아졌습니다. 이때 주 업종코드 확인서 발급은 반드시 필요합니다. 그래서 오늘은 이에 대해서 자세히 알아보겠습니다.m.site.naver.com', '안녕하세요! 주업종코드 확인서 발급에 어려움을 겪고 계시군요. 홈택스에서 주업종코드 확인서를 발급받는 방법을 안내해드릴게요.1. 홈택스 접속 및 로그인: 국세청 홈택스 웹사이트에 접속하여 로그인합니다. (홈택스 홈페이지: [홈택스](https://www.hometax.go.kr/))2. My홈택스 메뉴 선택: 로그인 후, 상단 메뉴에서 My홈택스를 클릭합니다.3. 기타 세무정보 선택: My홈택스 메뉴 안에서 기타 세무정보를 선택합니다.4. 사업자등록사항 및 담당자 안내: 사업자등록사항 및 담당자 안내를 클릭합니다.5. 본인 인증: 공동·금융인증서로 본인 인증을 진행합니다.6. 주업종코드 확인: 주업종코드를 확인하고, 필요 시 인쇄하거나 PDF로 저장합니다.만약 여전히 문제가 발생한다면, 국세청 고객센터에 문의해보시는 것도 좋은 방법입니다. 추가로 궁금한 점이 있으시면 언제든지 질문해 주세요!그리고 답변이 도움이 되셨다면 채택과 엄지 척! 부탁드려요~ ^^집 마련과 전세대출로 어려움을 겪고 계신가요? 정부에서 지원하는 디딤돌, 특례대출, 버팀목 등 다양한 은행권 저금리 대출 및 대환 대출 제도를 통해 도움을 받을 수 있습니다!대출 승인, 자격 조건, 한도, 신청 방법 등을 구체적으로 설명 드릴려니 길어지겠네요. 더 자세한 내용은 아래 글에서 확인하시기 바랍니다.[블로그]https://m.site.naver.com/1r2le청년들을 위한 주거 대출 가이드: 버팀목, 중소기업취업, 디딤돌, 보금자리론중기청 전월세대출 확인 ️\xa0\xa0청년버팀목전세대출 확인 ️\xa0\xa0디딤돌대출 바로가기 ️\xa0\xa0\xa0 \xa0\xa0\xa0청년버팀목전세자금대출- 대상: 만 19세 이상 ~ 만 34세 이하의 무주택 청년- 조건: 연 소득 5천만 원 이하, 순자산 3.45억 원 이하- 금리: 연 1.8% ~ 2.7%- 한도: 최대 2억 원 또는 전세보증금의 80% 중 적은 금액- 기간: 2년, 최대 10년까지 연장 가능중소기업취업청년 전월세 보증금 대출- 대상: 중소기업에 취업한 만 19세 이상 ~ 만 34세 이하의 무주택 청년- 조건: 연 소득 5천만 원 이하, 순자산...m.site.naver.com', '근무하는 회사의  주업종 코드를 의미합니다.']"
